,sl,time,light
442,442,2018-06-17 17:17:40.848094,650.0
443,443,2018-06-17 17:17:41.851534,652.0
444,444,2018-06-17 17:17:42.850923,652.0
445,445,2018-06-17 17:17:43.850293,654.0
446,446,2018-06-17 17:17:44.849599,655.0
447,447,2018-06-17 17:17:45.853093,657.0
448,448,2018-06-17 17:17:46.852462,659.0
449,449,2018-06-17 17:17:47.851811,660.0
450,450,2018-06-17 17:17:48.851173,661.0
451,451,2018-06-17 17:17:49.854637,664.0
452,452,2018-06-17 17:17:50.854002,665.0
453,453,2018-06-17 17:17:51.853350,668.0
454,454,2018-06-17 17:17:52.852704,670.0
455,455,2018-06-17 17:17:53.856155,675.0
456,456,2018-06-17 17:17:54.855508,678.0
457,457,2018-06-17 17:17:55.854829,682.0
458,458,2018-06-17 17:17:56.854224,686.0
459,459,2018-06-17 17:17:57.853574,690.0
460,460,2018-06-17 17:17:58.857047,694.0
461,461,2018-06-17 17:17:59.856416,697.0
462,462,2018-06-17 17:18:00.855769,701.0
463,463,2018-06-17 17:18:01.855121,704.0
464,464,2018-06-17 17:18:02.858567,707.0
465,465,2018-06-17 17:18:03.857985,711.0
466,466,2018-06-17 17:18:04.857285,713.0
467,467,2018-06-17 17:18:05.856644,715.0
468,468,2018-06-17 17:18:06.860109,716.0
469,469,2018-06-17 17:18:07.859475,717.0
470,470,2018-06-17 17:18:08.858785,718.0
471,471,2018-06-17 17:18:09.858170,719.0
472,472,2018-06-17 17:18:10.861627,720.0
473,473,2018-06-17 17:18:11.860975,720.0
474,474,2018-06-17 17:18:12.860371,720.0
475,475,2018-06-17 17:18:13.859700,720.0
476,476,2018-06-17 17:18:14.859054,720.0
477,477,2018-06-17 17:18:15.862526,722.0
478,478,2018-06-17 17:18:16.861892,721.0
479,479,2018-06-17 17:18:17.861244,722.0
480,480,2018-06-17 17:18:18.860599,721.0
481,481,2018-06-17 17:18:19.864045,722.0
482,482,2018-06-17 17:18:20.863405,721.0
483,483,2018-06-17 17:18:21.862765,722.0
484,484,2018-06-17 17:18:22.862117,721.0
485,485,2018-06-17 17:18:23.865581,722.0
486,486,2018-06-17 17:18:24.864955,721.0
487,487,2018-06-17 17:18:25.864305,721.0
488,488,2018-06-17 17:18:26.863660,721.0
489,489,2018-06-17 17:18:27.867108,720.0
490,490,2018-06-17 17:18:28.866468,720.0
491,491,2018-06-17 17:18:29.865822,719.0
492,492,2018-06-17 17:18:30.865179,718.0
493,493,2018-06-17 17:18:31.864538,718.0
494,494,2018-06-17 17:18:32.868002,716.0
495,495,2018-06-17 17:18:33.867370,715.0
496,496,2018-06-17 17:18:34.866723,716.0
497,497,2018-06-17 17:18:35.866054,714.0
498,498,2018-06-17 17:18:36.869524,712.0
499,499,2018-06-17 17:18:37.868885,710.0
500,500,2018-06-17 17:18:38.868241,708.0
501,501,2018-06-17 17:18:39.867593,703.0
502,502,2018-06-17 17:18:40.871067,699.0
503,503,2018-06-17 17:18:41.870431,694.0
504,504,2018-06-17 17:18:42.869757,689.0
505,505,2018-06-17 17:18:43.869161,684.0
506,506,2018-06-17 17:18:44.872583,678.0
507,507,2018-06-17 17:18:45.871955,670.0
508,508,2018-06-17 17:18:46.871303,668.0
509,509,2018-06-17 17:18:47.870656,662.0
510,510,2018-06-17 17:18:48.870012,658.0
511,511,2018-06-17 17:18:49.873480,655.0
512,512,2018-06-17 17:18:50.872847,652.0
513,513,2018-06-17 17:18:51.872204,649.0
514,514,2018-06-17 17:18:52.871536,645.0
515,515,2018-06-17 17:18:53.874997,644.0
516,516,2018-06-17 17:18:54.874371,644.0
517,517,2018-06-17 17:18:55.873723,643.0
518,518,2018-06-17 17:18:56.873073,643.0
519,519,2018-06-17 17:18:57.876522,642.0
520,520,2018-06-17 17:18:58.875884,642.0
521,521,2018-06-17 17:18:59.875236,643.0
522,522,2018-06-17 17:19:00.874592,643.0
523,523,2018-06-17 17:19:01.878064,644.0
524,524,2018-06-17 17:19:02.877384,645.0
525,525,2018-06-17 17:19:03.876781,646.0
526,526,2018-06-17 17:19:04.876135,646.0
527,527,2018-06-17 17:19:05.875496,647.0
528,528,2018-06-17 17:19:06.878935,647.0
529,529,2018-06-17 17:19:07.878299,647.0
530,530,2018-06-17 17:19:08.877655,648.0
531,531,2018-06-17 17:19:09.877004,648.0
532,532,2018-06-17 17:19:10.880486,648.0
533,533,2018-06-17 17:19:11.879844,647.0
534,534,2018-06-17 17:19:12.879201,646.0
535,535,2018-06-17 17:19:13.878559,647.0
536,536,2018-06-17 17:19:14.882000,647.0
537,537,2018-06-17 17:19:15.881365,647.0
538,538,2018-06-17 17:19:16.880719,648.0
539,539,2018-06-17 17:19:17.880069,648.0
540,540,2018-06-17 17:19:18.883499,648.0
541,541,2018-06-17 17:19:19.882907,647.0
542,542,2018-06-17 17:19:20.882266,647.0
543,543,2018-06-17 17:19:21.881615,647.0
544,544,2018-06-17 17:19:22.885061,646.0
545,545,2018-06-17 17:19:23.884444,646.0
546,546,2018-06-17 17:19:24.883804,645.0
547,547,2018-06-17 17:19:25.883139,644.0
548,548,2018-06-17 17:19:26.882492,644.0
549,549,2018-06-17 17:19:27.885960,643.0
550,550,2018-06-17 17:19:28.885372,643.0
551,551,2018-06-17 17:19:29.884631,642.0
552,552,2018-06-17 17:19:30.884038,642.0
553,553,2018-06-17 17:19:31.887481,642.0
554,554,2018-06-17 17:19:32.886842,642.0
555,555,2018-06-17 17:19:33.886203,642.0
556,556,2018-06-17 17:19:34.885555,642.0
557,557,2018-06-17 17:19:35.889019,643.0
558,558,2018-06-17 17:19:36.888417,643.0
559,559,2018-06-17 17:19:37.887745,644.0
560,560,2018-06-17 17:19:38.887071,644.0
561,561,2018-06-17 17:19:39.890535,646.0
562,562,2018-06-17 17:19:40.889889,647.0
563,563,2018-06-17 17:19:41.889261,650.0
564,564,2018-06-17 17:19:42.888618,653.0
565,565,2018-06-17 17:19:43.887926,656.0
566,566,2018-06-17 17:19:44.891398,660.0
567,567,2018-06-17 17:19:45.890764,665.0
568,568,2018-06-17 17:19:46.890115,673.0
569,569,2018-06-17 17:19:47.889471,683.0
570,570,2018-06-17 17:19:48.892968,693.0
571,571,2018-06-17 17:19:49.892325,702.0
572,572,2018-06-17 17:19:50.891668,711.0
573,573,2018-06-17 17:19:51.891040,717.0
574,574,2018-06-17 17:19:52.894505,719.0
575,575,2018-06-17 17:19:53.893871,719.0
576,576,2018-06-17 17:19:54.893224,718.0
577,577,2018-06-17 17:19:55.892583,717.0
578,578,2018-06-17 17:19:56.896023,715.0
579,579,2018-06-17 17:19:57.895394,713.0
580,580,2018-06-17 17:19:58.894740,707.0
581,581,2018-06-17 17:19:59.894093,701.0
