,sl,time,light
231,231,2018-06-18 05:47:19.465004,708.0
232,232,2018-06-18 05:47:20.464316,704.0
233,233,2018-06-18 05:47:21.463624,704.0
234,234,2018-06-18 05:47:22.467031,709.0
235,235,2018-06-18 05:47:23.466346,723.0
236,236,2018-06-18 05:47:24.465666,741.0
237,237,2018-06-18 05:47:25.464979,759.0
238,238,2018-06-18 05:47:26.468391,774.0
239,239,2018-06-18 05:47:27.467734,778.0
240,240,2018-06-18 05:47:28.467056,775.0
241,241,2018-06-18 05:47:29.466311,758.0
242,242,2018-06-18 05:47:30.465676,735.0
243,243,2018-06-18 05:47:31.469122,723.0
244,244,2018-06-18 05:47:32.468452,712.0
245,245,2018-06-18 05:47:33.467773,706.0
246,246,2018-06-18 05:47:34.467101,703.0
247,247,2018-06-18 05:47:35.470524,705.0
248,248,2018-06-18 05:47:36.469854,715.0
249,249,2018-06-18 05:47:37.469183,734.0
250,250,2018-06-18 05:47:38.468519,752.0
251,251,2018-06-18 05:47:39.467849,771.0
252,252,2018-06-18 05:47:40.471278,777.0
253,253,2018-06-18 05:47:41.470622,777.0
254,254,2018-06-18 05:47:42.469955,762.0
255,255,2018-06-18 05:47:43.469283,742.0
256,256,2018-06-18 05:47:44.472749,726.0
257,257,2018-06-18 05:47:45.472081,715.0
258,258,2018-06-18 05:47:46.471421,706.0
259,259,2018-06-18 05:47:47.470764,703.0
260,260,2018-06-18 05:47:48.470102,703.0
261,261,2018-06-18 05:47:49.473540,709.0
262,262,2018-06-18 05:47:50.472937,726.0
263,263,2018-06-18 05:47:51.472232,745.0
264,264,2018-06-18 05:47:52.471576,765.0
265,265,2018-06-18 05:47:53.475015,775.0
266,266,2018-06-18 05:47:54.474358,777.0
267,267,2018-06-18 05:47:55.473711,764.0
268,268,2018-06-18 05:47:56.473058,742.0
269,269,2018-06-18 05:47:57.472402,724.0
270,270,2018-06-18 05:47:58.475900,713.0
271,271,2018-06-18 05:47:59.475233,705.0
272,272,2018-06-18 05:48:00.474591,702.0
273,273,2018-06-18 05:48:01.473901,704.0
274,274,2018-06-18 05:48:02.477373,712.0
275,275,2018-06-18 05:48:03.476723,730.0
276,276,2018-06-18 05:48:04.476040,749.0
277,277,2018-06-18 05:48:05.475431,768.0
278,278,2018-06-18 05:48:06.474791,777.0
279,279,2018-06-18 05:48:07.478244,776.0
280,280,2018-06-18 05:48:08.477601,760.0
281,281,2018-06-18 05:48:09.476957,735.0
282,282,2018-06-18 05:48:10.476319,721.0
283,283,2018-06-18 05:48:11.479765,711.0
284,284,2018-06-18 05:48:12.479122,705.0
285,285,2018-06-18 05:48:13.478513,702.0
286,286,2018-06-18 05:48:14.477866,706.0
287,287,2018-06-18 05:48:15.477204,718.0
288,288,2018-06-18 05:48:16.480685,738.0
289,289,2018-06-18 05:48:17.480046,757.0
290,290,2018-06-18 05:48:18.479415,773.0
291,291,2018-06-18 05:48:19.478775,778.0
292,292,2018-06-18 05:48:20.482198,772.0
293,293,2018-06-18 05:48:21.481619,752.0
294,294,2018-06-18 05:48:22.480984,729.0
295,295,2018-06-18 05:48:23.480350,717.0
296,296,2018-06-18 05:48:24.479708,707.0
297,297,2018-06-18 05:48:25.483140,703.0
298,298,2018-06-18 05:48:26.482537,703.0
299,299,2018-06-18 05:48:27.481907,710.0
300,300,2018-06-18 05:48:28.481270,730.0
301,301,2018-06-18 05:48:29.484751,751.0
302,302,2018-06-18 05:48:30.484133,772.0
303,303,2018-06-18 05:48:31.483449,778.0
304,304,2018-06-18 05:48:32.482853,771.0
305,305,2018-06-18 05:48:33.482243,749.0
306,306,2018-06-18 05:48:34.485683,726.0
307,307,2018-06-18 05:48:35.485065,713.0
308,308,2018-06-18 05:48:36.484428,706.0
309,309,2018-06-18 05:48:37.483796,703.0
310,310,2018-06-18 05:48:38.487262,707.0
311,311,2018-06-18 05:48:39.486640,724.0
312,312,2018-06-18 05:48:40.486012,745.0
313,313,2018-06-18 05:48:41.485411,767.0
314,314,2018-06-18 05:48:42.484759,777.0
315,315,2018-06-18 05:48:43.488248,777.0
316,316,2018-06-18 05:48:44.487625,759.0
317,317,2018-06-18 05:48:45.487007,734.0
318,318,2018-06-18 05:48:46.486351,720.0
319,319,2018-06-18 05:48:47.489842,710.0
320,320,2018-06-18 05:48:48.489231,704.0
321,321,2018-06-18 05:48:49.488600,704.0
322,322,2018-06-18 05:48:50.487974,710.0
323,323,2018-06-18 05:48:51.487346,729.0
324,324,2018-06-18 05:48:52.490816,750.0
325,325,2018-06-18 05:48:53.490200,770.0
326,326,2018-06-18 05:48:54.489572,778.0
327,327,2018-06-18 05:48:55.488953,776.0
328,328,2018-06-18 05:48:56.492423,756.0
329,329,2018-06-18 05:48:57.491806,732.0
330,330,2018-06-18 05:48:58.491183,719.0
331,331,2018-06-18 05:48:59.490561,709.0
332,332,2018-06-18 05:49:00.489947,704.0
333,333,2018-06-18 05:49:01.493440,705.0
334,334,2018-06-18 05:49:02.492826,714.0
335,335,2018-06-18 05:49:03.492203,735.0
336,336,2018-06-18 05:49:04.491582,756.0
337,337,2018-06-18 05:49:05.495052,775.0
338,338,2018-06-18 05:49:06.494445,779.0
339,339,2018-06-18 05:49:07.493819,767.0
340,340,2018-06-18 05:49:08.493200,741.0
341,341,2018-06-18 05:49:09.492576,722.0
342,342,2018-06-18 05:49:10.496052,710.0
343,343,2018-06-18 05:49:11.495436,704.0
344,344,2018-06-18 05:49:12.494824,704.0
345,345,2018-06-18 05:49:13.494158,715.0
346,346,2018-06-18 05:49:14.497703,738.0
